S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
70,GUFL,781.00,6.10,0.79,779.00,798.60,775.00,"109,737.00",774.90
71,GVL,565.00,-13.00,-2.25,580.00,580.00,557.10,"60,584.00",578.00
72,H8020,8.85,-0.15,-1.67,8.83,9.00,8.83,"2,000.00",9.00
73,HATHY,890.00,-13.00,-1.44,903.00,905.00,885.00,"17,819.00",903.00
74,HBL,176.50,-1.00,-0.56,179.00,179.00,174.10,"28,415.00",177.50
75,HBLD86,"1,079.00",17.00,1.60,"1,079.00","1,079.00","1,079.00",30.00,"1,062.00"
76,HBLPO,125.00,0.00,0.00,125.00,125.00,125.00,"59,259.00",125.00
77,HDHPC,127.90,-0.20,-0.16,128.00,129.80,127.30,"72,538.00",128.10
78,HDL,"1,256.00",-13.00,-1.02,"1,270.10","1,284.00","1,255.00","35,150.00","1,269.00"
79,HEI,587.00,1.00,0.17,586.00,597.00,578.00,"17,335.00",586.00
80,HEIP,342.90,-6.10,-1.75,342.20,342.90,335.60,"5,448.00",349.00
81,HHL,362.00,-2.00,-0.55,357.30,372.70,357.30,"11,297.00",364.00
82,HIDCL,159.00,-1.90,-1.18,160.90,161.50,159.00,"85,209.00",160.90
83,HIDCLP,98.30,-0.40,-0.41,98.20,98.80,98.10,"13,480.00",98.70
84,HLBSL,"1,245.50",-24.50,-1.93,"1,245.00","1,315.00","1,245.00","38,278.00","1,270.00"
85,HLI,378.00,0.00,0.00,377.10,382.00,376.00,"49,276.00",378.00
86,HPPL,277.00,12.00,4.53,270.00,280.00,267.10,"80,245.00",265.00
87,HRL,547.00,3.50,0.64,543.50,563.00,538.00,"140,697.00",543.50
88,HURJA,308.00,12.00,4.05,301.90,315.10,301.90,"175,655.00",296.00
89,ICFC,558.20,28.20,5.32,539.00,565.00,532.00,"124,491.00",530.00
90,IGI,522.80,0.80,0.15,532.00,532.00,519.20,"30,358.00",522.00
91,IHL,420.00,-3.00,-0.71,425.00,429.40,418.00,"13,738.00",423.00
92,ILBS,"1,167.00",-32.90,-2.74,"1,176.10","1,203.00","1,165.00","5,676.00","1,199.90"
93,ILI,424.50,-3.00,-0.70,425.10,427.00,423.50,"26,198.00",427.50
94,JALPA,"1,316.10",-48.90,-3.58,"1,350.00","1,350.10","1,315.10","2,649.00","1,365.00"
95,JBBL,284.70,-1.30,-0.45,290.10,290.10,283.10,"25,048.00",286.00
96,JBBLPO,144.00,-0.10,-0.07,144.00,144.00,144.00,"3,727.00",144.10
97,JBLB,"1,324.00",-12.00,-0.90,"1,336.00","1,336.00","1,311.00","5,675.00","1,336.00"
98,JFL,570.00,15.00,2.70,566.00,575.70,555.00,"100,731.00",555.00
99,JOSHI,294.50,-0.10,-0.03,299.90,300.50,294.10,"30,898.00",294.60
100,JSLBB,"1,384.00",1.00,0.07,"1,355.50","1,384.50","1,330.20","1,250.00","1,383.00"
101,KBL,137.00,-0.80,-0.58,140.50,140.50,136.50,"48,800.00",137.80
102,KBSH,"1,515.00",-30.00,-1.94,"1,545.00","1,570.00","1,484.70","3,380.00","1,545.00"
103,KDBY,9.17,0.04,0.44,8.95,9.35,8.69,"4,200.00",9.13
104,KDL,"1,149.00",-21.00,-1.79,"1,147.00","1,179.70","1,105.30","13,205.00","1,170.00"
105,KEF,8.76,0.10,1.15,8.80,8.80,8.36,"35,545.00",8.66
106,KKHC,228.00,-3.80,-1.64,231.00,233.00,224.00,"16,196.00",231.80
107,KLBSL,989.00,13.00,1.33,968.00,989.00,963.50,"1,644.00",976.00
108,KMCDB,"1,099.90",-60.10,-5.18,"1,136.80","1,136.80","1,044.00","24,587.00","1,160.00"
109,KPCL,458.00,-2.00,-0.43,457.00,466.00,455.00,"28,888.00",460.00
110,KRBL,443.00,7.00,1.61,444.70,479.60,427.30,"53,765.00",436.00
111,KSBBL,366.00,-0.80,-0.22,370.00,370.00,364.10,"40,333.00",366.80
112,KSY,7.96,0.04,0.51,7.95,7.96,7.95,550.00,7.92
113,LBBL,375.00,-3.80,-1.00,378.00,379.00,374.20,"11,704.00",378.80
114,LEC,181.50,-0.50,-0.27,184.40,184.70,180.00,"42,558.00",182.00
115,LICN,"1,344.00",-21.00,-1.54,"1,360.00","1,360.00","1,323.00","3,591.00","1,365.00"
116,LLBS,"1,180.00",-10.00,-0.84,"1,212.00","1,234.90","1,177.10","5,025.00","1,190.00"
117,LSL,154.50,-0.30,-0.19,153.00,155.00,153.00,"44,889.00",154.80
118,LUK,8.42,0.01,0.12,8.41,8.57,8.41,"5,450.00",8.41
119,LVF2,8.06,-0.14,-1.71,8.05,8.21,8.05,"1,000.00",8.20
120,MAKAR,399.50,-2.50,-0.62,400.00,405.00,395.50,"16,865.00",402.00
121,MANDU,"1,060.00",56.00,5.58,"1,004.00","1,060.00",993.20,"96,776.00","1,004.00"
122,MBJC,295.00,-2.10,-0.71,295.10,298.00,293.10,"19,935.00",297.10
123,MBL,170.00,0.50,0.29,169.00,172.00,169.00,"25,047.00",169.50
124,MCHL,419.00,-0.90,-0.21,424.50,426.00,414.00,"11,876.00",419.90
125,MDB,485.00,4.00,0.83,484.00,490.00,480.00,"12,486.00",481.00
126,MEHL,343.00,-5.80,-1.66,355.70,355.70,342.10,"23,324.00",348.80
127,MEL,225.00,1.00,0.45,222.40,226.80,221.40,"28,520.00",224.00
128,MEN,600.00,-9.90,-1.62,609.00,619.90,598.00,"182,838.00",609.90
129,MERO,673.00,-8.00,-1.17,694.00,694.00,670.20,"9,931.00",681.00
130,MFIL,541.10,21.10,4.06,527.00,554.90,521.00,"115,584.00",520.00
131,MFILPO,267.60,-5.40,-1.98,267.60,267.60,267.60,"61,545.00",273.00
132,MFLD85,"1,006.20",-3.80,-0.38,"1,006.20","1,006.20","1,006.20",25.00,"1,010.00"
133,MHCL,400.10,-9.70,-2.37,405.10,410.00,392.00,"16,454.00",409.80
134,MHL,539.00,40.00,8.02,490.00,542.00,489.10,"66,326.00",499.00
135,MHNL,238.00,-2.00,-0.83,235.50,244.80,235.50,"12,643.00",240.00
136,MKCL,"1,108.00",-27.30,-2.40,"1,140.00","1,158.00","1,101.10","36,135.00","1,135.30"
137,MKHC,319.00,-7.00,-2.15,326.00,328.00,317.00,"20,310.00",326.00
138,MKHL,442.00,-10.00,-2.21,446.00,454.00,441.00,"11,120.00",452.00
139,MKJC,594.00,54.00,10.00,529.20,594.00,529.20,"64,309.00",540.00
140,MKLB,"1,350.00",-40.00,-2.88,"1,417.80","1,417.80","1,338.00","12,478.00","1,390.00"
141,MLBBL,"1,364.20",-29.80,-2.14,"1,420.00","1,420.00","1,352.10","1,827.00","1,394.00"
142,MLBL,317.20,-1.40,-0.44,324.80,324.80,317.20,"19,492.00",318.60
143,MLBS,"1,333.90",4.90,0.37,"1,304.10","1,344.00","1,304.00","3,087.00","1,329.00"
144,MLBSL,"1,913.50",1.50,0.08,"1,944.00","1,944.00","1,900.00","1,473.00","1,912.00"
145,MMF1,7.30,0.12,1.67,7.30,7.44,7.06,"27,540.00",7.18
146,MMKJL,490.50,28.50,6.17,456.00,490.60,456.00,"67,482.00",462.00
147,MNBBL,340.00,-0.20,-0.06,342.00,344.00,339.00,"17,905.00",340.20
148,MND84/85,992.10,6.10,0.62,990.00,992.10,990.00,240.00,986.00
149,MPFL,516.00,9.50,1.88,513.90,523.80,505.00,"164,934.00",506.50
150,MSHL,669.00,14.00,2.14,650.00,693.00,650.00,"2,089.00",655.00
151,MSLB,"1,340.00",0.00,0.00,"1,366.50","1,393.80","1,339.20","4,371.00","1,340.00"
152,NABBC,531.00,-19.00,-3.45,550.20,557.90,521.40,"31,587.00",550.00
153,NABIL,466.00,-4.10,-0.87,469.00,469.00,465.00,"53,680.00",470.10
154,NADEP,806.00,-19.00,-2.30,811.10,829.00,805.00,"7,408.00",825.00
155,NBF2,8.30,0.04,0.48,8.26,8.42,8.25,"10,620.00",8.26
156,NBF3,7.50,-0.02,-0.27,7.52,7.54,7.37,"7,750.00",7.52
157,NBL,207.20,-1.80,-0.86,210.00,210.00,207.20,"36,786.00",209.00
158,NBLD82,"1,060.00",15.00,1.44,"1,059.00","1,060.00","1,059.00",150.00,"1,045.00"
159,NBLD85,990.00,0.00,0.00,990.00,990.00,990.00,50.00,990.00
160,NBLD87,990.00,0.00,0.00,990.00,990.00,990.00,78.00,990.00
161,NCCD86,"1,006.30",-3.70,-0.37,"1,006.40","1,006.40","1,006.30",25.00,"1,010.00"
162,NESDO,"2,021.00",-77.00,-3.67,"2,070.00","2,075.00","2,020.00","4,457.00","2,098.00"
163,NFS,836.40,76.00,9.99,775.60,836.40,766.00,"168,880.00",760.40
164,NGPL,312.00,2.00,0.65,314.00,321.00,311.10,"141,205.00",310.00
165,NHDL,514.00,-6.30,-1.21,530.70,540.00,514.00,"13,476.00",520.30
166,NHPC,143.00,-1.80,-1.24,146.00,146.00,142.10,"87,325.00",144.80
167,NIBLGF,8.25,0.18,2.23,8.09,8.25,8.09,"9,200.00",8.07
168,NIBLSTF,8.15,-0.15,-1.81,8.14,8.24,8.14,"2,880.00",8.30
169,NIBSF2,7.85,0.00,0.00,7.70,7.85,7.70,"20,200.00",7.85
170,NICA,403.00,1.90,0.47,409.00,409.00,400.00,"32,541.00",401.10
171,NICAD85/86,"1,055.00",5.00,0.48,"1,055.00","1,055.00","1,055.00",25.00,"1,050.00"
172,NICBF,8.89,0.07,0.79,8.72,8.89,8.38,"8,200.00",8.82
173,NICFC,8.74,-0.12,-1.35,8.70,8.74,8.70,"1,900.00",8.86
174,NICGF,9.63,-0.01,-0.10,9.60,9.63,9.60,"1,750.00",9.64
175,NICGF2,8.00,-0.26,-3.15,8.26,8.26,8.00,"4,200.00",8.26
176,NICL,834.00,1.00,0.12,833.00,840.00,830.00,"18,328.00",833.00
177,NICLBSL,637.00,-8.00,-1.24,642.00,645.00,635.10,"10,785.00",645.00
178,NICSF,9.10,0.11,1.22,8.97,9.10,8.79,"29,711.00",8.99
179,NIFRA,192.00,0.70,0.37,190.30,194.00,190.10,"46,718.00",191.30
180,NIFRAUR85/86,908.00,0.00,0.00,908.00,908.00,908.00,25.00,908.00
181,NIL,796.00,6.00,0.76,805.00,821.10,790.00,"26,100.00",790.00
182,NILPO,436.00,0.00,0.00,436.00,436.00,436.00,"1,000.00",436.00
183,NIMB,155.00,0.00,0.00,154.50,156.60,153.90,"48,417.00",155.00
184,NIMBD90,"1,039.80",-20.20,-2.00,"1,039.80","1,039.80","1,039.80",25.00,"1,061.00"
185,NIMBPO,131.80,-5.20,-3.80,134.30,134.30,131.70,"4,359.00",137.00
186,NLG,747.20,-11.70,-1.54,759.00,759.00,747.20,"4,677.00",758.90
187,NLIC,585.00,-6.00,-1.02,590.00,591.00,585.00,"36,035.00",591.00
188,NLICL,545.00,0.70,0.13,540.00,545.00,537.20,"13,031.00",544.30
189,NMB,190.00,-1.00,-0.52,190.00,193.00,189.00,"16,273.00",191.00
190,NMB50,9.59,0.00,0.00,9.59,9.59,9.44,"5,500.00",9.59
191,NMBMF,690.00,-11.20,-1.60,701.20,701.20,690.00,"9,202.00",701.20
192,NMFBS,"1,303.40",-26.60,-2.00,"1,308.00","1,339.00","1,303.40","3,760.00","1,330.00"
193,NMLBBL,679.00,-8.00,-1.16,688.00,690.00,678.00,"12,840.00",687.00
194,NRIC,644.00,7.50,1.18,637.00,690.00,636.00,"27,655.00",636.50
195,NRM,385.80,-5.90,-1.51,390.00,397.80,383.10,"54,990.00",391.70
196,NRN,657.00,-1.00,-0.15,644.90,677.00,644.90,"144,677.00",658.00
197,NSIF2,9.70,-0.01,-0.10,9.52,9.70,9.52,"1,200.00",9.71
198,NTC,816.00,-0.90,-0.11,821.00,870.10,800.00,"69,427.00",816.90
199,NUBL,666.90,-3.10,-0.46,662.20,673.00,660.10,"12,254.00",670.00
200,NWCL,832.00,-27.90,-3.24,843.10,860.00,832.00,"17,684.00",859.90
201,NYADI,302.00,2.00,0.67,296.10,311.00,296.10,"21,540.00",300.00
202,OHL,749.10,-10.90,-1.43,748.60,767.00,748.60,"2,840.00",760.00
203,PBD85,"1,000.00",5.40,0.54,985.00,"1,000.00",985.00,95.00,994.60
204,PBD88,"1,040.10",-4.90,-0.47,"1,040.10","1,040.10","1,040.10",25.00,"1,045.00"
205,PBLD84,"1,050.00",10.00,0.96,"1,050.00","1,050.00","1,050.00",50.00,"1,040.00"
206,PBLD87,"1,001.00",0.00,0.00,"1,001.00","1,001.00","1,001.00",25.00,"1,001.00"
207,PCBL,195.50,-2.50,-1.26,199.00,199.00,194.50,"33,667.00",198.00
208,PFL,662.90,43.10,6.95,632.10,663.00,627.00,"265,347.00",619.80
209,PHCL,321.10,-4.90,-1.50,320.10,330.00,316.20,"22,928.00",326.00
210,PMHPL,229.80,-5.20,-2.21,231.00,235.00,227.00,"9,774.00",235.00
211,PMLI,494.00,-1.10,-0.22,485.20,504.00,485.20,"15,967.00",495.10
212,PMLIP,275.40,0.00,0.00,275.40,275.40,275.40,"57,645.00",275.40
213,PPCL,243.00,-2.00,-0.82,245.00,246.00,238.20,"11,218.00",245.00
214,PPL,455.00,5.00,1.11,446.00,458.00,446.00,"11,920.00",450.00
215,PRIN,770.00,1.00,0.13,766.00,780.00,766.00,"5,587.00",769.00
216,PROFL,427.10,26.10,6.51,409.00,431.00,404.00,"230,820.00",401.00
217,PRSF,8.80,-0.11,-1.23,8.75,8.80,8.75,200.00,8.91
218,PRVU,142.00,0.10,0.07,141.50,143.90,141.00,"40,249.00",141.90
219,PSF,8.91,-0.13,-1.44,8.92,9.07,8.86,"18,100.00",9.04
220,RADHI,258.10,-7.30,-2.75,267.00,267.00,257.00,"86,669.00",265.40
221,RAWA,560.00,11.00,2.00,559.00,565.00,548.00,"10,255.00",549.00
222,RBBD83,"1,000.00",15.00,1.52,995.00,"1,000.00",995.00,150.00,985.00
223,RBCL,"13,250.00",30.00,0.23,"13,441.00","13,442.00","13,190.00",140.00,"13,220.00"
224,RBCLPO,"10,299.00",-32.00,-0.31,"10,300.00","10,300.00","10,299.00",30.00,"10,331.00"
225,RFPL,367.90,-1.10,-0.30,372.00,377.00,362.00,"29,093.00",369.00
226,RHGCL,355.00,6.10,1.75,355.00,355.80,345.00,"25,304.00",348.90
227,RHPL,270.00,-0.70,-0.26,270.10,271.80,268.10,"10,866.00",270.70
228,RIDI,165.80,-1.30,-0.78,167.10,169.60,165.70,"52,675.00",167.10
229,RLFL,445.50,40.50,10.00,401.00,445.50,400.30,"309,443.00",405.00
230,RMF1,8.15,-0.15,-1.81,8.15,8.25,8.15,"3,100.00",8.30
231,RMF2,8.77,0.37,4.40,8.25,8.77,8.25,700.00,8.40
232,RNLI,420.10,-3.00,-0.71,420.20,424.00,420.00,"33,979.00",423.10
233,RSDC,657.10,-4.90,-0.74,670.00,670.00,657.10,"12,779.00",662.00
234,RURU,621.00,-3.00,-0.48,630.00,636.00,618.10,"17,931.00",624.00
235,SABSL,"1,036.10",-44.90,-4.15,"1,102.00","1,102.00","1,036.00","10,845.00","1,081.00"
236,SADBL,309.00,0.70,0.23,307.10,314.10,307.10,"10,150.00",308.30
237,SAEF,10.06,-0.12,-1.18,10.00,10.18,9.99,"9,000.00",10.18
238,SAGF,8.75,-0.21,-2.34,8.79,8.79,8.64,300.00,8.96
239,SAHAS,514.50,2.50,0.49,512.00,522.00,503.10,"8,412.00",512.00
240,SALICO,691.10,-3.80,-0.55,695.00,709.00,690.10,"15,828.00",694.90
241,SAMAJ,"2,527.50",-2.50,-0.10,"2,579.00","2,579.00","2,335.00","1,780.00","2,530.00"
242,SANIMA,248.90,-1.10,-0.44,250.00,250.00,248.00,"26,035.00",250.00
243,SAPDBL,357.90,8.00,2.29,345.00,364.00,345.00,"85,638.00",349.90
244,SAPDBLP,195.00,0.00,0.00,195.00,195.00,195.00,"5,793.00",195.00
245,SARBTM,779.80,-4.20,-0.54,776.00,789.90,770.10,"18,688.00",784.00
246,SBCF,7.96,-0.44,-5.24,8.24,8.25,7.93,"30,555.00",8.40
247,SBD87,990.00,18.80,1.94,990.00,990.00,990.00,36.00,971.20
248,SBI,295.00,2.00,0.68,290.00,304.70,288.20,"6,340.00",293.00
249,SBL,245.90,0.90,0.37,247.00,247.00,242.60,"37,504.00",245.00
250,SBLD2082,"1,090.00",-5.00,-0.46,"1,090.00","1,090.00","1,090.00",100.00,"1,095.00"
251,SCB,561.00,-3.00,-0.53,563.00,566.00,560.00,"8,463.00",564.00
252,SDBD87,"1,000.00",0.00,0.00,"1,000.00","1,000.00","1,000.00",58.00,"1,000.00"
253,SDLBSL,"1,360.70",123.70,10.00,"1,230.00","1,360.70","1,196.00","32,295.00","1,237.00"
254,SEF,8.05,-0.09,-1.11,8.00,8.27,7.90,"54,200.00",8.14
255,SFCL,464.00,29.50,6.79,437.00,465.00,437.00,"214,946.00",434.50
256,SFEF,7.89,0.00,0.00,7.89,7.89,7.89,600.00,7.89
257,SFMF,9.98,-0.02,-0.20,10.15,10.15,9.95,"16,076.00",10.00
258,SGHC,322.00,-5.00,-1.53,321.00,331.00,320.00,"14,835.00",327.00
259,SGIC,526.00,-4.00,-0.75,528.30,534.80,526.00,"46,939.00",530.00
260,SHEL,157.00,-2.00,-1.26,157.30,160.40,157.00,"84,287.00",159.00
261,SHINE,379.50,-0.60,-0.16,378.10,384.00,378.00,"29,608.00",380.10
262,SHIVM,486.00,-1.10,-0.23,495.00,495.00,483.20,"73,210.00",487.10
263,SHL,421.00,-4.20,-0.99,425.40,429.90,420.20,"56,865.00",425.20
264,SHLB,"1,763.00",-77.00,-4.18,"1,810.00","1,815.00","1,750.00","4,129.00","1,840.00"
265,SHPC,319.00,-1.40,-0.44,321.10,323.00,318.00,"46,771.00",320.40
266,SICL,690.00,0.00,0.00,695.00,695.00,684.00,"7,848.00",690.00
267,SIFC,473.90,30.40,6.85,446.10,479.00,446.00,"127,394.00",443.50
268,SIGS2,8.35,0.16,1.95,8.35,8.35,8.35,100.00,8.19
269,SIGS3,8.66,-0.34,-3.78,8.82,8.82,8.66,400.00,9.00
270,SIKLES,645.00,35.20,5.77,620.80,645.00,603.10,"45,924.00",609.80
271,SINDU,390.00,2.00,0.52,380.50,395.60,380.50,"18,452.00",388.00
272,SJCL,260.10,-1.90,-0.73,259.00,263.00,259.00,"7,826.00",262.00
273,SJLIC,403.80,-1.40,-0.35,413.30,413.30,400.10,"45,392.00",405.20
274,SKBBL,805.10,-5.90,-0.73,808.50,815.00,805.00,"10,134.00",811.00
275,SLBBL,805.00,-4.00,-0.49,810.00,815.00,802.30,"9,048.00",809.00
276,SLBSL,"1,243.00",-21.00,-1.66,"1,239.00","1,263.60","1,220.00","4,179.00","1,264.00"
277,SLCF,8.00,-0.03,-0.37,7.90,8.00,7.90,"14,750.00",8.03
278,SMATA,"1,008.00",-16.00,-1.56,"1,022.00","1,024.00",986.30,"8,645.00","1,024.00"
279,SMB,"1,635.00",-39.90,-2.38,"1,695.00","1,695.00","1,628.10",812.00,"1,674.90"
280,SMFBS,"1,350.00",18.00,1.35,"1,358.00","1,425.00","1,350.00",300.00,"1,332.00"
281,SMH,790.00,-14.00,-1.74,801.50,810.00,789.00,"4,090.00",804.00
282,SMHL,619.00,-10.00,-1.59,629.00,630.00,611.70,"59,738.00",629.00
283,SMJC,400.00,0.20,0.05,395.00,404.00,389.00,"44,844.00",399.80
284,SNLI,462.00,-2.00,-0.43,464.00,469.90,461.00,"20,510.00",464.00
285,SONA,439.00,-4.80,-1.08,440.00,450.00,438.00,"92,490.00",443.80
286,SPC,575.00,-8.00,-1.37,593.00,593.00,565.00,"1,800.00",583.00
287,SPDL,249.60,-9.30,-3.59,253.80,268.00,240.00,"74,549.00",258.90
288,SPHL,537.50,3.50,0.66,528.50,539.00,528.50,"4,345.00",534.00
289,SPIL,787.00,-6.00,-0.76,798.90,798.90,783.10,"9,329.00",793.00
290,SPL,764.90,-4.00,-0.52,755.20,775.90,754.00,"7,911.00",768.90
291,SRLI,431.00,0.50,0.12,429.00,435.00,429.00,"9,487.00",430.50
292,SSHL,173.60,-3.40,-1.92,179.00,179.00,173.30,"87,826.00",177.00
293,STC,"4,639.00",39.00,0.85,"4,650.00","4,655.00","4,570.00","1,951.00","4,600.00"
294,SWBBL,860.30,-13.70,-1.57,871.00,875.00,855.00,"8,073.00",874.00
295,SWMF,878.00,-4.90,-0.55,900.00,900.00,866.00,"3,996.00",882.90
296,TAMOR,390.30,-4.70,-1.19,391.10,395.00,386.00,"22,455.00",395.00
297,TPC,534.90,18.90,3.66,520.00,535.00,515.10,"10,031.00",516.00
298,TRH,764.20,-1.70,-0.22,768.00,768.00,748.60,"3,398.00",765.90
299,TSHL,559.90,21.90,4.07,548.40,564.00,538.00,"33,773.00",538.00
300,TVCL,459.00,-1.10,-0.24,452.00,466.00,450.00,"18,776.00",460.10
301,UAIL,558.50,-0.50,-0.09,557.10,560.00,553.10,"20,414.00",559.00
302,UHEWA,479.70,-0.40,-0.08,488.90,489.00,473.50,"27,826.00",480.10
