S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
303,ULBSL,"2,025.00",-109.00,-5.11,"2,091.40","2,091.40","2,015.30","1,223.00","2,134.00"
304,ULHC,385.10,-7.90,-2.01,389.10,400.00,385.00,"31,438.00",393.00
305,UMHL,239.00,-1.00,-0.42,238.30,243.00,236.00,"30,280.00",240.00
306,UMRH,400.10,-4.00,-0.99,404.00,412.00,400.00,"61,613.00",404.10
307,UNHPL,232.30,-4.70,-1.98,241.70,246.00,232.30,"21,661.00",237.00
308,UNL,"44,999.00",499.00,1.12,"44,999.90","45,000.00","44,888.00",50.00,"44,500.00"
309,UNLB,"2,000.00",0.00,0.00,"1,975.00","2,020.00","1,971.10","1,749.00","2,000.00"
310,UPCL,190.00,-1.00,-0.52,191.00,192.00,189.30,"26,551.00",191.00
311,UPPER,157.00,-1.20,-0.76,157.50,160.00,156.00,"110,350.00",158.20
312,USHEC,450.00,-7.00,-1.53,447.90,459.00,435.00,"31,367.00",457.00
313,USHL,547.00,-2.00,-0.36,551.00,555.90,541.60,"3,738.00",549.00
314,USLB,"1,685.00",-74.00,-4.21,"1,740.00","1,740.00","1,681.00","10,682.00","1,759.00"
315,VLBS,982.10,-23.90,-2.38,"1,007.10","1,018.00",982.10,"6,471.00","1,006.00"
316,VLUCL,512.00,5.90,1.17,505.10,513.00,505.00,"11,725.00",506.10
317,WNLB,"1,484.00",-61.00,-3.95,"1,515.00","1,515.00","1,460.00","2,947.00","1,545.00"
